num_languages,num_words,hidden_size,circulant_width,loss,accuracy,pair_frac,num_train
8,8,4,1,1.4238001,0.17187501,0.125,64
8,8,4,2,0.14138629,0.9166667,0.25,128
8,8,4,3,0.25929105,0.846875,0.375,192
8,8,4,4,0.33657175,0.8359375,0.5,256
8,8,32,1,1.3222793,0.04464286,0.125,64
8,8,32,2,0.49478766,0.734375,0.25,128
8,8,32,3,0.173182,0.875,0.375,192
8,8,32,4,0.17299342,0.8359375,0.5,256
8,8,128,1,1.0209326,0.14732143,0.125,64
8,8,128,2,0.39854825,0.9140625,0.25,128
8,8,128,3,0.16750728,0.871875,0.375,192
8,8,128,4,0.16709161,0.84375,0.5,256
8,32,4,1,1.0822642,0.012834822,0.125,256
8,32,4,2,0.9166769,0.22916667,0.25,512
8,32,4,3,0.9738806,0.2109375,0.375,768
8,32,4,4,0.875,0.4375,0.5,1024
8,32,32,1,1.0400801,0.014508929,0.125,256
8,32,32,2,0.82747996,0.28776044,0.25,512
8,32,32,3,0.40035334,0.6,0.375,768
8,32,32,4,1.7447758e-06,1.0,0.5,1024
8,32,128,1,1.0082803,0.016741073,0.125,256
8,32,128,2,0.7824654,0.32747397,0.25,512
8,32,128,3,0.40039307,0.6,0.375,768
8,32,128,4,0.00014318072,1.0,0.5,1024
8,128,4,1,1.0696545,0.018973215,0.125,1024
8,128,4,2,0.91667676,0.25,0.25,2048
8,128,4,3,0.9083293,0.29550782,0.375,3072
8,128,4,4,0.875,0.4375,0.5,4096
8,128,32,1,1.0277051,0.017996652,0.125,1024
8,128,32,2,0.823967,0.30029297,0.25,2048
8,128,32,3,0.40442228,0.6,0.375,3072
8,128,32,4,2.5167772e-06,1.0,0.5,4096
8,128,128,1,1.0098372,0.01841518,0.125,1024
8,128,128,2,0.78706044,0.32307944,0.25,2048
8,128,128,3,0.4056309,0.6,0.375,3072
8,128,128,4,0.000107210566,1.0,0.5,4096
8,16,4,1,1.0827786,0.015625,0.125,128
8,16,4,2,0.74661916,0.16666667,0.25,256
8,16,4,3,0.37731466,0.725,0.375,384
8,16,4,4,0.48759106,0.65234375,0.5,512
8,16,32,1,1.0349057,0.017857144,0.125,128
8,16,32,2,0.5166435,0.8802084,0.25,256
8,16,32,3,0.18296175,0.85312504,0.375,384
8,16,32,4,0.12793219,0.8828125,0.5,512
8,16,128,1,1.005485,0.02232143,0.125,128
8,16,128,2,0.3721547,0.9921875,0.25,256
8,16,128,3,0.16994768,0.846875,0.375,384
8,16,128,4,0.12011061,0.8828125,0.5,512
8,24,4,1,1.0764892,0.01264881,0.125,192
8,24,4,2,0.99905473,0.125,0.25,384
8,24,4,3,0.8519348,0.725,0.375,576
8,24,4,4,0.6638461,0.4375,0.5,768
8,24,32,1,1.0376536,0.023065476,0.125,192
8,24,32,2,0.76409066,0.3168403,0.25,384
8,24,32,3,0.015682241,1.0,0.375,576
8,24,32,4,0.00038584202,1.0,0.5,768
8,24,128,1,1.0091329,0.017857144,0.125,192
8,24,128,2,0.7166481,0.33333334,0.25,384
8,24,128,3,0.01165037,1.0,0.375,576
8,24,128,4,0.00043339073,1.0,0.5,768
